trial_id,label,operator,user_id,session,decision,score,mahalanobis_distance,bot,latency_ms,notes
1,genuine,enrolled_user,demo-user,session-1,GRANTED,67,2.667,FALSE,0.3,
2,genuine,enrolled_user,demo-user,session-1,GRANTED,42,3.965,FALSE,0.2,
3,genuine,enrolled_user,demo-user,session-1,GRANTED,84,1.792,FALSE,0,
4,genuine,enrolled_user,demo-user,session-1,DENIED,0,20,FALSE,0.4,
5,genuine,enrolled_user,demo-user,session-1,GRANTED,95,0.937,FALSE,0.3,
6,genuine,enrolled_user,demo-user,session-1,GRANTED,93,1.112,FALSE,0,
7,genuine,enrolled_user,demo-user,session-1,GRANTED,98,0.573,FALSE,0.1,
8,genuine,enrolled_user,demo-user,session-1,GRANTED,93,1.136,FALSE,0.1,
9,genuine,enrolled_user,demo-user,session-1,GRANTED,97,0.713,FALSE,0.3,
10,genuine,enrolled_user,demo-user,session-1,GRANTED,94,1.028,FALSE,0.1,
11,impostor,enrolled_user_self_varied,demo-user,session-1,DENIED,0,20,FALSE,0,
12,impostor,enrolled_user_self_varied,demo-user,session-1,DENIED,0,20,FALSE,0.1,
13,impostor,enrolled_user_self_varied,demo-user,session-1,GRANTED,78,2.099,FALSE,0.1,
14,impostor,enrolled_user_self_varied,demo-user,session-1,DENIED,0,15.939,FALSE,0.1,
15,impostor,enrolled_user_self_varied,demo-user,session-1,GRANTED,78,2.094,FALSE,0.2,
16,impostor,enrolled_user_self_varied,demo-user,session-1,DENIED,16,5.792,FALSE,0,
17,impostor,enrolled_user_self_varied,demo-user,session-1,DENIED,4,7.608,FALSE,0.3,
18,impostor,enrolled_user_self_varied,demo-user,session-1,DENIED,11,6.244,FALSE,0.3,
19,impostor,enrolled_user_self_varied,demo-user,session-1,DENIED,10,6.376,FALSE,0.1,
20,impostor,enrolled_user_self_varied,demo-user,session-1,GRANTED,66,2.751,FALSE,0.1,
